Index,Date,Cycle_Draw,Week_Of_Year,Day_Of_Week,Day_Name,Month,Month_Name,Year,Lunar_Illumination,Lunar_Phase,Lunar_Phase_Name,Days_Since_First,N1,N2,N3,N4,N5,E1,E2
60,2004-09-06,30,37,0,Lundi,9,September,2004,0.5615,5,Gibbeuse Décroissante,206,13,22,32,39,41,1,12
61,2004-09-10,31,37,4,Vendredi,9,September,2004,0.2026,6,Dernier Quartier,210,7,28,33,37,47,9,12
62,2004-09-13,31,38,0,Lundi,9,September,2004,0.0292,7,Dernier Croissant,213,20,27,35,39,48,3,8
63,2004-09-17,32,38,4,Vendredi,9,September,2004,0.0658,0,Nouvelle Lune,217,3,31,33,38,44,6,12
64,2004-09-20,32,39,0,Lundi,9,September,2004,0.3154,1,Premier Croissant,220,14,28,34,46,49,3,8
65,2004-09-24,33,39,4,Vendredi,9,September,2004,0.7573,2,Premier Quartier,224,3,14,15,48,49,1,7
66,2004-09-27,33,40,0,Lundi,9,September,2004,0.97,3,Gibbeuse Croissante,227,27,39,41,45,50,5,7
67,2004-10-01,34,40,4,Vendredi,10,October,2004,0.935,4,Pleine Lune,231,9,24,30,46,49,4,12
68,2004-10-04,34,41,0,Lundi,10,October,2004,0.7233,5,Gibbeuse Décroissante,234,10,21,30,42,45,1,9
69,2004-10-08,35,41,4,Vendredi,10,October,2004,0.3534,6,Dernier Quartier,238,1,3,18,33,36,2,6
70,2004-10-11,35,42,0,Lundi,10,October,2004,0.1102,7,Dernier Croissant,241,9,17,18,21,50,5,12
71,2004-10-15,36,42,4,Vendredi,10,October,2004,0.01,0,Nouvelle Lune,245,4,9,35,46,50,8,11
72,2004-10-18,36,43,0,Lundi,10,October,2004,0.1882,1,Premier Croissant,248,8,10,33,35,49,2,9
73,2004-10-22,37,43,4,Vendredi,10,October,2004,0.6231,2,Premier Quartier,252,13,36,37,42,47,7,11
74,2004-10-25,37,44,0,Lundi,10,October,2004,0.8954,2,Premier Quartier,255,6,10,27,32,48,3,8
75,2004-10-29,38,44,4,Vendredi,10,October,2004,0.9922,4,Pleine Lune,259,15,20,29,35,42,2,9
76,2004-11-01,38,45,0,Lundi,11,November,2004,0.8612,4,Pleine Lune,262,7,16,31,43,46,5,9
77,2004-11-05,39,45,4,Vendredi,11,November,2004,0.5249,5,Gibbeuse Décroissante,266,17,22,23,24,44,6,11
78,2004-11-08,39,46,0,Lundi,11,November,2004,0.2411,6,Dernier Quartier,269,1,3,11,20,43,2,11
79,2004-11-12,40,46,4,Vendredi,11,November,2004,0.0051,7,Dernier Croissant,273,5,14,25,26,40,5,7
80,2004-11-15,40,47,0,Lundi,11,November,2004,0.0821,0,Nouvelle Lune,276,4,14,31,36,38,3,10
81,2004-11-19,41,47,4,Vendredi,11,November,2004,0.4739,1,Premier Croissant,280,3,21,36,41,46,1,6
82,2004-11-22,41,48,0,Lundi,11,November,2004,0.7818,2,Premier Quartier,283,10,23,24,29,45,8,10
83,2004-11-26,42,48,4,Vendredi,11,November,2004,0.993,3,Gibbeuse Croissante,287,3,4,29,39,43,5,10
84,2004-11-29,42,49,0,Lundi,11,November,2004,0.9563,4,Pleine Lune,290,22,30,41,44,49,2,7
85,2004-12-03,43,49,4,Vendredi,12,December,2004,0.6935,5,Gibbeuse Décroissante,294,9,37,41,42,49,1,9
86,2004-12-06,43,50,0,Lundi,12,December,2004,0.405,6,Dernier Quartier,297,2,11,19,30,49,3,8
87,2004-12-10,44,50,4,Vendredi,12,December,2004,0.0615,7,Dernier Croissant,301,6,8,14,27,41,4,5
88,2004-12-13,44,51,0,Lundi,12,December,2004,0.0151,0,Nouvelle Lune,304,8,15,24,35,42,6,8
89,2004-12-17,45,51,4,Vendredi,12,December,2004,0.3183,1,Premier Croissant,308,18,20,29,41,48,5,9
90,2004-12-20,45,52,0,Lundi,12,December,2004,0.6369,2,Premier Quartier,311,12,27,36,37,42,6,7
91,2004-12-24,46,52,4,Vendredi,12,December,2004,0.9381,3,Gibbeuse Croissante,315,20,33,35,41,47,4,12
92,2004-12-27,46,53,0,Lundi,12,December,2004,0.9971,4,Pleine Lune,318,3,19,29,35,37,1,9
93,2004-12-31,47,53,4,Vendredi,12,December,2004,0.8371,5,Gibbeuse Décroissante,322,19,24,26,28,33,8,12
94,2005-01-03,47,1,0,Lundi,1,January,2005,0.5768,5,Gibbeuse Décroissante,325,12,22,27,33,45,4,8
95,2005-01-07,48,1,4,Vendredi,1,January,2005,0.1732,7,Dernier Croissant,329,6,10,16,23,24,11,12
96,2005-01-10,48,2,0,Lundi,1,January,2005,0.0057,7,Dernier Croissant,332,10,14,21,33,50,6,9
97,2005-01-14,49,2,4,Vendredi,1,January,2005,0.1726,0,Nouvelle Lune,336,1,3,4,21,29,2,7
98,2005-01-17,49,3,0,Lundi,1,January,2005,0.4713,1,Premier Croissant,339,1,15,25,42,50,4,10
99,2005-01-21,50,3,4,Vendredi,1,January,2005,0.833,2,Premier Quartier,343,5,24,25,29,47,5,9
100,2005-01-24,50,4,0,Lundi,1,January,2005,0.9797,3,Gibbeuse Croissante,346,14,25,39,44,47,6,10
101,2005-01-28,51,4,4,Vendredi,1,January,2005,0.94,4,Pleine Lune,350,23,25,34,46,47,6,8
102,2005-01-31,51,5,0,Lundi,1,January,2005,0.7337,5,Gibbeuse Décroissante,353,8,17,18,29,43,5,9
103,2005-02-04,52,5,4,Vendredi,2,February,2005,0.318,6,Dernier Quartier,357,7,11,25,31,40,9,12
104,2005-02-07,52,6,0,Lundi,2,February,2005,0.0582,7,Dernier Croissant,360,10,11,12,29,31,8,11
105,2005-02-11,53,6,4,Vendredi,2,February,2005,0.0614,0,Nouvelle Lune,364,4,13,20,28,49,7,12
106,2005-02-14,53,7,0,Lundi,2,February,2005,0.3026,1,Premier Croissant,367,7,8,34,39,44,2,6
107,2005-02-18,54,7,4,Vendredi,2,February,2005,0.6881,2,Premier Quartier,371,10,11,12,22,50,1,10
108,2005-02-21,54,8,0,Lundi,2,February,2005,0.9065,3,Gibbeuse Croissante,374,2,33,35,42,48,1,3
109,2005-02-25,55,8,4,Vendredi,2,February,2005,0.9931,4,Pleine Lune,378,1,8,19,37,50,6,9
110,2005-02-28,55,9,0,Lundi,2,February,2005,0.8613,5,Gibbeuse Décroissante,381,7,33,38,44,50,2,7
111,2005-03-04,56,9,4,Vendredi,3,March,2005,0.4714,6,Dernier Quartier,385,1,3,19,30,45,10,12
112,2005-03-07,56,10,0,Lundi,3,March,2005,0.1573,7,Dernier Croissant,388,4,17,20,25,45,8,9
113,2005-03-11,57,10,4,Vendredi,3,March,2005,0.0056,0,Nouvelle Lune,392,3,13,27,30,46,1,2
114,2005-03-14,57,11,0,Lundi,3,March,2005,0.1558,0,Nouvelle Lune,395,4,15,23,30,39,1,12
115,2005-03-18,58,11,4,Vendredi,3,March,2005,0.5199,2,Premier Quartier,399,2,15,32,36,48,3,9
116,2005-03-21,58,12,0,Lundi,3,March,2005,0.7854,2,Premier Quartier,402,16,23,32,46,49,4,5
117,2005-03-25,59,12,4,Vendredi,3,March,2005,0.9916,3,Gibbeuse Croissante,406,7,14,19,34,40,6,8
118,2005-03-28,59,13,0,Lundi,3,March,2005,0.951,4,Pleine Lune,409,4,8,16,17,20,1,6
119,2005-04-01,60,13,4,Vendredi,4,April,2005,0.6183,5,Gibbeuse Décroissante,413,8,22,29,41,42,9,11
120,2005-04-04,60,14,0,Lundi,4,April,2005,0.2819,6,Dernier Quartier,416,7,20,21,27,38,5,12
121,2005-04-08,61,14,4,Vendredi,4,April,2005,0.0093,7,Dernier Croissant,420,18,20,21,36,49,3,5
122,2005-04-11,61,15,0,Lundi,4,April,2005,0.0532,0,Nouvelle Lune,423,16,25,29,34,37,3,7
123,2005-04-15,62,15,4,Vendredi,4,April,2005,0.3504,1,Premier Croissant,427,20,30,32,41,44,1,10
124,2005-04-18,62,16,0,Lundi,4,April,2005,0.6316,2,Premier Quartier,430,10,15,17,31,42,4,12
125,2005-04-22,63,16,4,Vendredi,4,April,2005,0.9351,3,Gibbeuse Croissante,434,6,29,46,47,48,2,9
126,2005-04-25,63,17,0,Lundi,4,April,2005,0.9957,4,Pleine Lune,437,12,14,34,41,47,3,4
127,2005-04-29,64,17,4,Vendredi,4,April,2005,0.7513,5,Gibbeuse Décroissante,441,7,9,11,16,45,2,5
128,2005-05-02,64,18,0,Lundi,5,May,2005,0.4175,6,Dernier Quartier,444,3,24,27,33,42,4,6
129,2005-05-06,65,18,4,Vendredi,5,May,2005,0.0627,7,Dernier Croissant,448,1,8,11,42,47,4,11
130,2005-05-09,65,19,0,Lundi,5,May,2005,0.005,0,Nouvelle Lune,451,9,15,24,47,50,8,9
131,2005-05-13,66,19,4,Vendredi,5,May,2005,0.2018,1,Premier Croissant,455,7,10,13,18,26,3,12
132,2005-05-16,66,20,0,Lundi,5,May,2005,0.4657,2,Premier Quartier,458,15,17,29,45,49,1,10
133,2005-05-20,67,20,4,Vendredi,5,May,2005,0.8304,3,Gibbeuse Croissante,462,15,16,39,40,47,1,6
134,2005-05-23,67,21,0,Lundi,5,May,2005,0.9901,3,Gibbeuse Croissante,465,21,23,25,33,44,4,10
135,2005-05-27,68,21,4,Vendredi,5,May,2005,0.8643,5,Gibbeuse Décroissante,469,1,18,27,41,50,2,12
136,2005-05-30,68,22,0,Lundi,5,May,2005,0.5571,5,Gibbeuse Décroissante,472,5,7,12,33,46,3,12
137,2005-06-03,69,22,4,Vendredi,6,June,2005,0.1531,6,Dernier Quartier,476,9,25,28,37,38,2,8
138,2005-06-06,69,23,0,Lundi,6,June,2005,0.0093,7,Dernier Croissant,479,4,19,23,35,37,4,8
139,2005-06-10,70,23,4,Vendredi,6,June,2005,0.0899,0,Nouvelle Lune,483,4,8,10,16,34,4,8
140,2005-06-13,70,24,0,Lundi,6,June,2005,0.308,1,Premier Croissant,486,15,22,35,44,48,6,7
141,2005-06-17,71,24,4,Vendredi,6,June,2005,0.6921,2,Premier Quartier,490,2,32,35,36,39,7,8
142,2005-06-20,71,25,0,Lundi,6,June,2005,0.9335,3,Gibbeuse Croissante,493,12,18,24,25,39,8,10
143,2005-06-24,72,25,4,Vendredi,6,June,2005,0.9488,4,Pleine Lune,497,6,15,19,28,39,7,11
144,2005-06-27,72,26,0,Lundi,6,June,2005,0.6952,5,Gibbeuse Décroissante,500,11,13,29,31,47,1,11
145,2005-07-01,73,26,4,Vendredi,7,July,2005,0.2715,6,Dernier Quartier,504,2,7,34,35,46,6,8
146,2005-07-04,73,27,0,Lundi,7,July,2005,0.0597,7,Dernier Croissant,507,10,16,18,22,35,1,10
147,2005-07-08,74,27,4,Vendredi,7,July,2005,0.0223,0,Nouvelle Lune,511,14,16,37,45,49,5,7
148,2005-07-11,74,28,0,Lundi,7,July,2005,0.1741,1,Premier Croissant,514,3,4,7,11,17,3,12
149,2005-07-15,75,28,4,Vendredi,7,July,2005,0.5384,2,Premier Quartier,518,3,11,33,34,36,1,12
150,2005-07-18,75,29,0,Lundi,7,July,2005,0.8332,3,Gibbeuse Croissante,521,2,13,16,24,32,1,7
151,2005-07-22,76,29,4,Vendredi,7,July,2005,0.9938,4,Pleine Lune,525,7,15,34,45,48,7,9
152,2005-07-25,76,30,0,Lundi,7,July,2005,0.8229,5,Gibbeuse Décroissante,528,15,16,26,30,37,5,8
153,2005-07-29,77,30,4,Vendredi,7,July,2005,0.4117,6,Dernier Quartier,532,6,7,9,14,43,3,4
154,2005-08-01,77,31,0,Lundi,8,August,2005,0.1503,6,Dernier Quartier,535,4,7,16,33,34,7,8
155,2005-08-05,78,31,4,Vendredi,8,August,2005,0.0017,7,Dernier Croissant,539,16,18,35,36,41,6,7
156,2005-08-08,78,32,0,Lundi,8,August,2005,0.0737,0,Nouvelle Lune,542,9,12,18,22,50,1,3
157,2005-08-12,79,32,4,Vendredi,8,August,2005,0.3858,1,Premier Croissant,546,11,13,14,34,48,7,9
158,2005-08-15,79,33,0,Lundi,8,August,2005,0.7032,2,Premier Quartier,549,18,31,32,41,46,1,10
159,2005-08-19,80,33,4,Vendredi,8,August,2005,0.99,3,Gibbeuse Croissante,553,2,8,17,28,35,7,9
160,2005-08-22,80,34,0,Lundi,8,August,2005,0.9262,4,Pleine Lune,556,13,28,29,44,48,4,12
161,2005-08-26,81,34,4,Vendredi,8,August,2005,0.5663,5,Gibbeuse Décroissante,560,35,36,41,42,45,6,11
162,2005-08-29,81,35,0,Lundi,8,August,2005,0.2766,6,Dernier Quartier,563,6,9,10,30,49,3,4
163,2005-09-02,82,35,4,Vendredi,9,September,2005,0.0301,7,Dernier Croissant,567,13,22,24,33,47,1,5
164,2005-09-05,82,36,0,Lundi,9,September,2005,0.014,0,Nouvelle Lune,570,2,20,39,40,47,4,8
165,2005-09-09,83,36,4,Vendredi,9,September,2005,0.2468,1,Premier Croissant,574,6,9,11,32,49,2,10
166,2005-09-12,83,37,0,Lundi,9,September,2005,0.5587,2,Premier Quartier,577,10,20,40,44,46,1,3
167,2005-09-16,84,37,4,Vendredi,9,September,2005,0.9361,3,Gibbeuse Croissante,581,22,29,31,39,46,3,7
168,2005-09-19,84,38,0,Lundi,9,September,2005,0.9881,4,Pleine Lune,584,2,3,12,16,45,2,11
169,2005-09-23,85,38,4,Vendredi,9,September,2005,0.7223,5,Gibbeuse Décroissante,588,19,23,26,27,46,2,10
170,2005-09-26,85,39,0,Lundi,9,September,2005,0.4315,6,Dernier Quartier,591,13,18,26,35,37,8,11
171,2005-09-30,86,39,4,Vendredi,9,September,2005,0.1089,7,Dernier Croissant,595,1,23,31,36,48,5,8
172,2005-10-03,86,40,0,Lundi,10,October,2005,0.0019,7,Dernier Croissant,598,16,17,35,36,49,1,10
173,2005-10-07,87,40,4,Vendredi,10,October,2005,0.1301,0,Nouvelle Lune,602,2,13,14,26,29,5,6
174,2005-10-10,87,41,0,Lundi,10,October,2005,0.4123,1,Premier Croissant,605,8,11,23,32,44,9,10
175,2005-10-14,88,41,4,Vendredi,10,October,2005,0.84,2,Premier Quartier,609,7,16,18,20,32,1,3
176,2005-10-17,88,42,0,Lundi,10,October,2005,0.9966,3,Gibbeuse Croissante,612,1,4,31,34,40,4,5
177,2005-10-21,89,42,4,Vendredi,10,October,2005,0.8596,4,Pleine Lune,616,13,19,30,38,46,4,12
178,2005-10-24,89,43,0,Lundi,10,October,2005,0.6013,5,Gibbeuse Décroissante,619,8,11,12,16,44,4,7
179,2005-10-28,90,43,4,Vendredi,10,October,2005,0.2361,6,Dernier Quartier,623,2,15,17,23,36,3,8
180,2005-10-31,90,44,0,Lundi,10,October,2005,0.0447,7,Dernier Croissant,626,4,7,19,20,34,2,4
181,2005-11-04,91,44,4,Vendredi,11,November,2005,0.0447,0,Nouvelle Lune,630,3,4,9,12,20,5,6
182,2005-11-07,91,45,0,Lundi,11,November,2005,0.2724,1,Premier Croissant,633,24,27,28,30,49,1,12
183,2005-11-11,92,45,4,Vendredi,11,November,2005,0.7139,2,Premier Quartier,637,23,31,37,42,48,3,7
184,2005-11-14,92,46,0,Lundi,11,November,2005,0.9504,3,Gibbeuse Croissante,640,8,13,14,24,26,1,2
185,2005-11-18,93,46,4,Vendredi,11,November,2005,0.9562,4,Pleine Lune,644,13,17,18,20,46,4,9
186,2005-11-21,93,47,0,Lundi,11,November,2005,0.7639,5,Gibbeuse Décroissante,647,23,24,35,37,45,9,12
187,2005-11-25,94,47,4,Vendredi,11,November,2005,0.4002,6,Dernier Quartier,651,2,7,21,28,45,5,11
188,2005-11-28,94,48,0,Lundi,11,November,2005,0.1451,7,Dernier Croissant,654,13,20,23,27,42,5,9
189,2005-12-02,95,48,4,Vendredi,12,December,2005,0.0034,0,Nouvelle Lune,658,5,10,19,27,30,5,6
190,2005-12-05,95,49,0,Lundi,12,December,2005,0.1476,0,Nouvelle Lune,661,8,19,32,41,42,9,12
191,2005-12-09,96,49,4,Vendredi,12,December,2005,0.5687,1,Premier Croissant,665,14,23,39,48,50,3,12
192,2005-12-12,96,50,0,Lundi,12,December,2005,0.858,2,Premier Quartier,668,27,28,44,48,50,7,12
193,2005-12-16,97,50,4,Vendredi,12,December,2005,0.9971,3,Gibbeuse Croissante,672,10,18,21,33,45,8,12
194,2005-12-19,97,51,0,Lundi,12,December,2005,0.8948,4,Pleine Lune,675,16,17,18,45,49,9,12
195,2005-12-23,98,51,4,Vendredi,12,December,2005,0.5788,5,Gibbeuse Décroissante,679,2,9,12,39,40,1,3
196,2005-12-26,98,52,0,Lundi,12,December,2005,0.293,6,Dernier Quartier,682,4,7,18,39,50,3,8
197,2005-12-30,99,52,4,Vendredi,12,December,2005,0.0197,7,Dernier Croissant,686,7,15,18,46,49,10,12
198,2006-01-02,99,1,0,Lundi,1,January,2006,0.0517,0,Nouvelle Lune,689,2,3,19,36,37,6,9
199,2006-01-06,100,1,4,Vendredi,1,January,2006,0.4134,1,Premier Croissant,693,8,27,30,35,47,9,10
200,2006-01-09,100,2,0,Lundi,1,January,2006,0.7304,2,Premier Quartier,696,6,14,34,44,49,4,12
201,2006-01-13,101,2,4,Vendredi,1,January,2006,0.9793,3,Gibbeuse Croissante,700,10,20,41,43,45,2,12
202,2006-01-16,101,3,0,Lundi,1,January,2006,0.9756,4,Pleine Lune,703,2,13,37,38,48,5,9
203,2006-01-20,102,3,4,Vendredi,1,January,2006,0.7449,5,Gibbeuse Décroissante,707,6,28,37,39,43,9,12
204,2006-01-23,102,4,0,Lundi,1,January,2006,0.4648,6,Dernier Quartier,710,17,30,42,48,50,4,8
205,2006-01-27,103,4,4,Vendredi,1,January,2006,0.0976,7,Dernier Croissant,714,4,6,20,24,25,5,9
206,2006-01-30,103,5,0,Lundi,1,January,2006,0.0037,0,Nouvelle Lune,717,4,10,14,38,50,9,12
207,2006-02-03,104,5,4,Vendredi,2,February,2006,0.2596,1,Premier Croissant,721,12,16,27,33,44,7,8
208,2006-02-06,104,6,0,Lundi,2,February,2006,0.578,2,Premier Quartier,724,15,20,29,39,48,1,7
209,2006-02-10,105,6,4,Vendredi,2,February,2006,0.9081,3,Gibbeuse Croissante,728,19,29,34,46,47,2,3
210,2006-02-13,105,7,0,Lundi,2,February,2006,0.9987,3,Gibbeuse Croissante,731,2,24,26,46,50,2,7
211,2006-02-17,106,7,4,Vendredi,2,February,2006,0.877,4,Pleine Lune,735,13,16,36,44,50,3,5
212,2006-02-20,106,8,0,Lundi,2,February,2006,0.6333,5,Gibbeuse Décroissante,738,10,21,30,38,42,2,12
213,2006-02-24,107,8,4,Vendredi,2,February,2006,0.2225,6,Dernier Quartier,742,8,10,11,30,39,4,10
214,2006-02-27,107,9,0,Lundi,2,February,2006,0.017,7,Dernier Croissant,745,8,21,31,39,47,5,9
215,2006-03-03,108,9,4,Vendredi,3,March,2006,0.1264,0,Nouvelle Lune,749,5,7,20,40,50,2,10
216,2006-03-06,108,10,0,Lundi,3,March,2006,0.4137,1,Premier Croissant,752,29,33,35,48,49,3,8
217,2006-03-10,109,10,4,Vendredi,3,March,2006,0.7927,2,Premier Quartier,756,8,16,18,31,34,6,9
218,2006-03-13,109,11,0,Lundi,3,March,2006,0.9648,3,Gibbeuse Croissante,759,2,20,28,40,45,1,5
219,2006-03-17,110,11,4,Vendredi,3,March,2006,0.9633,4,Pleine Lune,763,10,17,20,35,40,3,4
220,2006-03-20,110,12,0,Lundi,3,March,2006,0.7788,5,Gibbeuse Décroissante,766,21,26,28,40,41,2,4
221,2006-03-24,111,12,4,Vendredi,3,March,2006,0.3693,6,Dernier Quartier,770,18,20,22,33,43,3,9
222,2006-03-27,111,13,0,Lundi,3,March,2006,0.0866,7,Dernier Croissant,773,21,29,31,34,43,2,9
223,2006-03-31,112,13,4,Vendredi,3,March,2006,0.0359,0,Nouvelle Lune,777,6,20,22,24,45,4,5
224,2006-04-03,112,14,0,Lundi,4,April,2006,0.2556,1,Premier Croissant,780,9,11,13,21,32,2,7
225,2006-04-07,113,14,4,Vendredi,4,April,2006,0.6448,2,Premier Quartier,784,2,6,14,19,23,5,7
226,2006-04-10,113,15,0,Lundi,4,April,2006,0.8797,3,Gibbeuse Croissante,787,3,23,24,34,35,5,8
227,2006-04-14,114,15,4,Vendredi,4,April,2006,0.9988,4,Pleine Lune,791,10,15,31,41,42,2,5
228,2006-04-17,114,16,0,Lundi,4,April,2006,0.8914,5,Gibbeuse Décroissante,794,12,14,21,45,48,8,11
229,2006-04-21,115,16,4,Vendredi,4,April,2006,0.5177,6,Dernier Quartier,798,5,14,36,40,42,2,11
